,state_id,county_name,percent_female,poverty_level,median_age,pop_density,high_school_education,bachelor_education,graduate_education,obesity_rate,feel_bad,married,elevation,lat,deaths,suicide_rate,percent_students
0,AK,Anchorage,0.4920000000000001,0.099,34.0,173.0,0.923,0.35100000000000003,0.13699999999999998,0.259,0.209,0.4970000000000001,101.0,61.1508,64.0,21.742379975268044,0.05676459796980527
1,AK,Fairbanks North Star,0.47568104904430286,0.11494156171284636,27.843200474144318,962.3052896725442,0.9149415617128465,0.25519060601570603,0.07968487183286414,0.261,0.20605843828715364,0.4675488813157505,412.6051266854349,64.83017591346866,26.0,26.077450026578937,0.06416055685385595
2,AK,Juneau,0.49,0.07400000000000001,38.5,12.0,0.956,0.394,0.142,0.267,0.221,0.508,5.0,58.4546,10.0,31.158471988533684,0.060291643297812676
3,AK,Kenai Peninsula,0.5118233661130194,0.09594410200912812,39.24868959676281,422.7038065214323,0.9108690067284619,0.25094179645226555,0.1101611537194749,0.29399999999999993,0.2297088411047852,0.4649572766197714,26.617277560814944,60.22721883028278,13.0,22.177866489243733,0.005612706211508607
4,AK,Kusilvak,0.47029965296316073,0.3706170581954084,23.543473037907106,303.22544046983455,0.7779873198077951,0.04705632674853176,0.01929391350774159,0.299,0.2629667645488521,0.32056406833956225,6.231046449546183,62.09012342498666,0.0,0.0,
5,AK,Matanuska-Susitna,0.49341472573197337,0.12344857157355255,33.31655249403765,1160.200081189425,0.9110311564418734,0.169351093520069,0.053848328005277314,0.287,0.2179403257725681,0.3981319835591414,288.0145126097326,61.58898554828234,30.0,28.160552697780947,0.0002628318251792889
6,AK,Wrangell,0.494,0.099,50.1,56.0,0.8809999999999999,0.203,0.063,0.254,0.249,0.532,0.0,56.3317,0.0,0.0,
7,AL,Autauga,0.5136115038648804,0.13479880615079912,37.45993178004566,1498.57896184634,0.8838379225923583,0.302167193904217,0.12857750391989659,0.3,0.20541201551453797,0.549648062058152,325.0017054988584,32.45982969768658,12.0,21.620063418852695,0.0
8,AL,Baldwin,0.5173078532935698,0.12512941453460996,43.52575733793753,1400.1321700762135,0.9257753623188405,0.3571241999337275,0.12145666998029263,0.24500000000000002,0.20511703203753112,0.514343492212979,112.59762116534993,30.534881768953074,39.0,18.34189288334556,0.0910040069981376
9,AL,Blount,0.5166126778455284,0.1599244791666667,41.28281885162602,436.6138846544715,0.7509841209349594,0.14331942327235778,0.05581091209349594,0.315,0.23453067835365857,0.5722129065040651,707.7868394308942,33.964070477642274,11.0,18.96126730215641,0.0
10,AL,Calhoun,0.5316575001918209,0.21756834190132737,38.61431136346197,932.6894652037136,0.8522368142407735,0.2207537635233638,0.09274543082943297,0.332,0.21373530269316354,0.43932950203330007,694.8421084938234,33.69731257730377,29.0,25.27717732375706,0.0659472840108779
11,AL,Covington,0.5330615249609985,0.2085538709048362,43.60996977379095,368.6621489859594,0.8112740834633385,0.15288670046801875,0.05097255265210609,0.316,0.19848283931357252,0.47538962558502346,326.0307137285492,31.270225736154448,12.0,32.35198964736332,0.03607246845681009
12,AL,Cullman,0.5179458356015242,0.17123703242864918,41.27605179251886,710.5779220779222,0.8283218757290615,0.2026243875884594,0.0817678279804028,0.294,0.22203095108484333,0.4718882883583483,676.1242320553697,34.15391023018898,21.0,25.37611020482146,0.05420820494229956
13,AL,DeKalb,0.517266460936784,0.23415414464236609,38.3565767362278,251.42479146933914,0.7428842311100249,0.12380029942864128,0.056780897674844934,0.317,0.24106107733202964,0.5116632649943477,1011.7948608267898,34.4687981728742,20.0,27.9263303405616,0.033637264895206444
14,AL,Elmore,0.5639250987541781,0.14150437556973564,36.044767547857795,1157.0206927985414,0.8804304770586446,0.2102882102704345,0.07617888179884533,0.285,0.21014597386812517,0.44764725007596473,231.64102096627167,32.52562420540869,14.0,17.14068832106958,0.006905248723630887
15,AL,Escambia,0.46183535262684505,0.2585205544680176,40.44274906089624,855.352944288662,0.783194434156923,0.13994100841225332,0.04946161578752446,0.352,0.18941622136394898,0.3837147240886726,188.67917041426378,31.091653060684617,12.0,32.045290677490854,0.024968622319544956
16,AL,Etowah,0.5271578254971017,0.18636390171707345,41.339235059542574,708.4303235443247,0.831055883683006,0.18146225316212844,0.07215404327628028,0.32500000000000007,0.20325309360996535,0.4285222342510244,547.6938182615488,33.98567428500952,15.0,14.597829789304658,0.04525327234684444
17,AL,Houston,0.5296854120535284,0.184006654953307,37.75452127659575,690.4665928564551,0.8696943174160006,0.23959626215461632,0.09477174593241551,0.33,0.20830037546933666,0.4784370126119188,307.3043828824492,31.225886119668818,15.0,14.375251566902422,0.03876526172541353
18,AL,Jackson,0.5288909066982498,0.21799530639996492,42.24107119357811,333.2001579155152,0.8325496775891564,0.15631784883975966,0.05617524235645042,0.308,0.2358726148177392,0.49503232881519504,673.6853972013862,34.70469274465939,15.0,28.896723111599147,0.0
19,AL,Jefferson,0.5266227928544226,0.16910670806832662,38.13427337157587,1528.0857200459736,0.9038860460668132,0.35494514854453746,0.13818129825909697,0.31100000000000005,0.1984442533657516,0.4337788830856873,479.51103594328066,33.508963136554826,109.0,16.53526942628683,0.06548421791968106
20,AL,Lauderdale,0.5400230536222167,0.221089023516082,36.75149721367956,1502.5476680463385,0.8550378985825607,0.26396392813374336,0.10638733322542604,0.301,0.2156853423358846,0.3877465951395473,555.833028880616,34.83401240779707,12.0,12.967645723918823,0.06417903996196157
