state_id,county_name,percent-female,poverty-level,median-age,pop-density,high-school-education,obesity-rate,feel-bad,married,elevation,lat,suicide-rate
AK,Anchorage,0.4920000000000001,0.099,34.0,173.0,0.923,0.259,0.209,0.4970000000000001,101.0,61.1508,21.742379975268044
AK,Fairbanks North Star,0.16654068102589642,0.0402421875,9.748182270916335,336.9126826029216,0.3203301689077026,0.09137870393426296,0.07214311503984064,0.16369352797144754,144.45717131474103,22.69769138238712,26.077450026578937
AK,Juneau,0.49,0.07400000000000001,38.5,12.0,0.956,0.267,0.221,0.508,5.0,58.4546,31.158471988533684
AK,Kenai Peninsula,0.19532036917331033,0.036613876319758674,14.977957336780864,161.31085254614666,0.3476028693528693,0.11219532428355956,0.08766074121956474,0.17743548445019033,10.1575989370107,22.983715467212527,22.177866489243733
AK,Kusilvak,0.47029965296316073,0.3706170581954084,23.543473037907106,303.22544046983455,0.7779873198077951,0.299,0.2629667645488521,0.32056406833956225,6.231046449546183,62.09012342498666,0.0
AK,Matanuska-Susitna,0.13787627082594822,0.03449558312655086,9.309738390641616,324.1979865295994,0.2545720099255583,0.08019722084367245,0.06089968096419709,0.1112511449840482,80.4807089684509,17.209984235377526,28.160552697780947
AK,Wrangell,0.494,0.099,50.1,56.0,0.8809999999999999,0.254,0.249,0.532,0.0,56.3317,0.0
AL,Autauga,0.43028412416749245,0.1129292973521075,31.38250178600235,1255.4522849307493,0.7404456940059456,0.25132855529693726,0.172086350333003,0.46047417786278894,272.27403037356254,27.193607010347293,21.620063418852695
AL,Baldwin,0.4867037222390864,0.11772671036762958,40.950756836137806,1317.2998137649834,0.8710061367309602,0.23050570601120687,0.19298222973361007,0.48391473389723433,105.93630270163837,28.72842644947452,18.34189288334556
AL,Blount,0.46294894416301446,0.1433121407023735,36.99451875462462,391.260117251978,0.6729747851329045,0.2822790141726905,0.21016853548864478,0.5127736353804998,634.2646707268485,30.436013751494112,18.96126730215641
AL,Calhoun,0.39980913969188164,0.1636124978362472,29.038158213605676,701.3872136633778,0.6408864116323352,0.24966568576539153,0.16073003288904278,0.33037801627142116,522.524793722232,25.340550159829206,25.27717732375706
AL,Covington,0.5330615249609985,0.2085538709048362,43.60996977379095,368.6621489859594,0.8112740834633385,0.316,0.19848283931357252,0.47538962558502346,326.0307137285492,31.270225736154448,32.35198964736332
AL,Cullman,0.5041836109008326,0.16668713096139284,40.17931491294474,691.697312641938,0.8063127176381528,0.2861881907645723,0.21613141559424678,0.45934984859954575,658.1590840272522,33.24641420514761,25.37611020482146
AL,DeKalb,0.517266460936784,0.23415414464236609,38.3565767362278,251.42479146933914,0.7428842311100249,0.317,0.24106107733202964,0.5116632649943477,1011.7948608267898,34.4687981728742,27.9263303405616
AL,Elmore,0.41570591792850103,0.104312091210465,26.570945703789985,852.9153077681211,0.649022645820267,0.2100920616432219,0.15491228384553354,0.329989942657468,170.75768300331512,23.9767559492877,17.14068832106958
AL,Escambia,0.46183535262684505,0.2585205544680176,40.44274906089624,855.352944288662,0.783194434156923,0.352,0.18941622136394898,0.3837147240886726,188.67917041426378,31.091653060684617,32.045290677490854
AL,Etowah,0.44285141311230075,0.15655940827721174,34.72800322339262,595.133667184712,0.6981481724515052,0.2730239452023254,0.17074757382144704,0.3599902492373223,460.10316007598,28.55047038047545,14.597829789304658
AL,Houston,0.5296854120535284,0.184006654953307,37.75452127659575,690.4665928564551,0.8696943174160006,0.33,0.20830037546933666,0.4784370126119188,307.3043828824492,31.225886119668818,14.375251566902422
AL,Jackson,0.5288909066982498,0.21799530639996492,42.24107119357811,333.2001579155152,0.8325496775891564,0.308,0.2358726148177392,0.49503232881519504,673.6853972013862,34.70469274465939,28.896723111599147
AL,Jefferson,0.5040706784651038,0.16186487600920343,36.501209807107095,1462.6469194039207,0.8651779958601011,0.29768172424314904,0.18994606915775322,0.41520271979811807,458.9764372129078,32.07397403244295,16.53526942628683
AL,Lauderdale,0.5400230536222167,0.221089023516082,36.75149721367956,1502.5476680463385,0.8550378985825607,0.301,0.2156853423358846,0.3877465951395473,555.833028880616,34.83401240779707,12.967645723918823
AL,Lee,0.518893488931183,0.25355612541320244,29.923600120204345,1221.6468596614245,0.9118925473304619,0.302,0.18550872483221476,0.3750111990383653,728.8082940999699,32.62051002103576,12.994727853270959
AL,Limestone,0.511110524975443,0.16874304216538727,40.43686469967621,646.6031578564413,0.8349384436278968,0.27699999999999997,0.2134581438498199,0.48100454760432204,729.8045621566558,34.79735693600611,15.889493866655366
AL,Madison,0.47616603642607924,0.14763666356113336,34.29198589722511,1178.2493304835496,0.832975422443872,0.28172788951608485,0.18537174695383718,0.4450639484116111,462.8811457591202,31.63587933030087,15.787461985453376
AL,Marshall,0.524348754880343,0.22737341452066434,35.86249064390185,693.7682924362268,0.8012604535431797,0.274,0.2260983351202638,0.5203898812534137,996.6648999656101,34.28302288349888,17.792104491983086
AL,Mobile,0.44173068926591746,0.18080659107374522,31.505619597998418,1188.4543460313714,0.74558919683925,0.251578528465284,0.1622531868650279,0.3324203022593635,18.395733998281468,25.838294428588277,15.460617699991547
AL,Montgomery,0.5314823405477878,0.2249386803294388,36.15622964949244,1339.0821107067611,0.8615529783566367,0.33,0.1980626221030454,0.39074820915533426,251.33911128136373,32.34489406339781,11.912850877580015
AL,Morgan,0.5088171529665813,0.18088021802193227,39.87392062232514,962.4020007024575,0.8527947393753333,0.35000000000000003,0.22865029334096498,0.4973878604971836,574.0198509229509,34.54083484578461,28.615192984227978
